ID;MesSiniestro;Marca;Zona;Sexo;EstadoCivil;Edad;Categoria;CostoVehiculo;TipoConductor;Modelo;Testigo;Anio;Pago;Cerrado
12322;Feb;Pontiac;Urbana;Hombre;Casado;65;Sedan;Bajo;3;5mas;No;2024;502.97;1
12323;Mar;Chevrolet;Urbana;Mujer;Casado;36;Deportivo;Bajo;4;5mas;No;2024;132.29;1
12324;Abr;Mazda;Urbana;Mujer;Soltero;38;Sedan;Bajo;3;5mas;No;2024;209.84;1
12325;May;Toyota;Urbana;Hombre;Casado;39;Sedan;Bajo;3;5mas;No;2024;202.19;1
12326;May;Honda;Urbana;Hombre;Soltero;33;Deportivo;Alto;4;5mas;No;2024;30.74;1
12327;Jun;Mazda;Urbana;Mujer;Casado;29;Deportivo;Medio;4;5mas;No;2024;231.78;0
12328;Jun;Mazda;Urbana;Hombre;Casado;55;Sedan;Medio;4;5mas;No;2024;45.38;1
12329;Jun;Pontiac;Urbana;Mujer;Casado;46;Sedan;Bajo;4;5mas;No;2024;161.09;1
12330;Jun;Pontiac;Urbana;Hombre;Soltero;54;Carga;Alto;1;5mas;No;2024;137.59;1
12331;Jun;Pontiac;Urbana;Mujer;Soltero;34;Deportivo;Bajo;4;5mas;No;2024;563.57;0
12332;Jul;Pontiac;Urbana;Hombre;Soltero;34;Sedan;Medio;2;5mas;No;2024;174.91;0
12333;Jul;Mazda;Urbana;Hombre;Soltero;24;Sedan;Bajo;3;5mas;No;2024;130.57;1
12334;Jul;Chevrolet;Urbana;Hombre;Casado;48;Deportivo;Medio;1;5mas;No;2024;75.12;1
12335;May;Pontiac;Urbana;Hombre;Casado;27;Sedan;Bajo;4;5mas;No;2024;117.21;0
12336;Jul;Accura;Rural;Hombre;Casado;56;Sedan;Alto;3;5mas;No;2024;86.26;0
12337;Ago;Mazda;Urbana;Hombre;Soltero;38;Deportivo;Bajo;3;3y;No;2024;248.42;1
12338;Ago;Mazda;Urbana;Hombre;Casado;41;Deportivo;Medio;2;5mas;No;2024;97.94;0
12339;Sep;Chevrolet;Urbana;Hombre;Soltero;33;Sedan;Alto;1;5mas;No;2024;119.25;1
12340;Nov;Honda;Urbana;Mujer;Casado;39;Sedan;Bajo;2;5mas;No;2024;26.59;1
12341;Nov;Toyota;Urbana;Hombre;Casado;36;Sedan;Bajo;3;5mas;No;2024;179.36;1
12342;Nov;Honda;Urbana;Hombre;Soltero;30;Sedan;Bajo;1;5mas;No;2024;399.21;1
12343;Nov;Toyota;Urbana;Mujer;Casado;56;Deportivo;Medio;1;5mas;No;2024;207.97;0
12344;Nov;Mercury;Urbana;Hombre;Casado;52;Sedan;Bajo;4;5mas;No;2024;143.92;1
12345;Nov;Toyota;Urbana;Hombre;Casado;46;Deportivo;Bajo;2;5mas;No;2024;79.52;0
12346;Nov;Pontiac;Urbana;Mujer;Casado;52;Sedan;Medio;3;5mas;No;2024;190.23;1
12347;Nov;Toyota;Urbana;Hombre;Soltero;32;Deportivo;Bajo;3;5mas;No;2024;175.12;0
12348;Nov;Chevrolet;Urbana;Hombre;Soltero;31;Sedan;Bajo;3;5mas;No;2024;233.30;0
12349;Nov;Accura;Urbana;Hombre;Casado;44;Sedan;Bajo;1;5mas;No;2024;12.27;1
12350;Nov;Toyota;Urbana;Hombre;Casado;43;Sedan;Bajo;3;5mas;No;2024;179.12;0
12351;Oct;Ford;Rural;Hombre;Casado;51;Sedan;Medio;1;5mas;No;2024;221.01;1
12352;Oct;Toyota;Urbana;Hombre;Soltero;29;Deportivo;Bajo;1;5mas;No;2024;55.45;1
12353;Oct;Mazda;Urbana;Hombre;Soltero;30;Sedan;Medio;2;5mas;No;2024;111.59;0
12354;Sep;Mazda;Urbana;Mujer;Soltero;32;Sedan;Bajo;3;5mas;No;2024;46.54;0
12355;Sep;Dodge;Urbana;Hombre;Soltero;30;Deportivo;Medio;2;5mas;No;2024;65.98;1
12356;Ago;Honda;Urbana;Hombre;Soltero;21;Sedan;Bajo;1;4y;No;2024;239.96;1
12357;Jul;Mazda;Urbana;Hombre;Soltero;35;Sedan;Medio;3;5mas;No;2024;63.69;1
12358;Jul;Honda;Urbana;Hombre;Soltero;44;Deportivo;Bajo;3;5mas;No;2024;71.76;1
12359;Jul;Chevrolet;Urbana;Hombre;Soltero;36;Deportivo;Medio;1;5mas;No;2024;123.98;1
12360;Jul;Toyota;Urbana;Hombre;Soltero;53;Deportivo;Bajo;2;5mas;No;2024;28.15;1
12361;Jul;Pontiac;Urbana;Mujer;Casado;51;Sedan;Bajo;1;5mas;No;2024;226.81;1
12362;Jul;Pontiac;Urbana;Hombre;Casado;37;Sedan;Medio;2;5mas;No;2024;200.84;1
12363;Jul;Accura;Urbana;Hombre;Soltero;48;Sedan;Bajo;4;5mas;No;2024;16.52;1
12364;Jul;Pontiac;Urbana;Hombre;Casado;35;Sedan;Medio;1;5mas;No;2024;284.93;1
12365;Jun;Pontiac;Urbana;Mujer;Soltero;35;Sedan;Bajo;1;5mas;No;2024;159.64;1
12366;Jun;Ford;Rural;Hombre;Casado;39;Sedan;Medio;4;5mas;No;2024;94.45;1
12367;May;Ford;Urbana;Hombre;Casado;46;Deportivo;Medio;2;5mas;No;2024;229.85;1
12368;Jun;Honda;Urbana;Hombre;Casado;42;Sedan;Bajo;3;5mas;No;2024;183.73;0
12369;Jun;Honda;Urbana;Hombre;Casado;31;Sedan;Medio;2;5mas;No;2024;7.81;0
12370;May;Toyota;Urbana;Hombre;Casado;32;Deportivo;Bajo;3;5mas;No;2024;217.39;1
12371;May;Mazda;Urbana;Mujer;Otro;50;Sedan;Bajo;3;5mas;No;2024;348.47;1
12372;May;Pontiac;Urbana;Mujer;Casado;42;Sedan;Bajo;1;5mas;No;2024;296.34;0
12373;Abr;Mazda;Urbana;Hombre;Casado;34;Deportivo;Medio;1;5mas;No;2024;479.22;1
12374;Abr;Pontiac;Urbana;Hombre;Casado;53;Deportivo;Medio;2;5mas;No;2024;96.02;1
12375;Abr;Toyota;Urbana;Hombre;Casado;30;Sedan;Bajo;3;5mas;No;2024;151.30;0
12376;Abr;Mazda;Urbana;Hombre;Casado;28;Deportivo;Medio;4;5mas;No;2024;322.73;1
12377;Mar;Honda;Urbana;Hombre;Soltero;32;Deportivo;Alto;2;5mas;No;2024;185.62;1
12378;Mar;Chevrolet;Rural;Hombre;Casado;53;Sedan;Bajo;2;5mas;No;2024;75.06;1
12379;Mar;Honda;Urbana;Hombre;Soltero;32;Sedan;Bajo;2;5mas;No;2024;260.03;1
12380;Mar;Chevrolet;Urbana;Hombre;Casado;42;Sedan;Medio;2;5mas;No;2024;271.37;0
12381;Mar;VW;Urbana;Hombre;Soltero;74;Sedan;Alto;1;5mas;No;2024;59.44;0
12382;Mar;Pontiac;Urbana;Hombre;Casado;42;Deportivo;Bajo;4;5mas;No;2024;132.59;1
12383;Mar;Honda;Urbana;Hombre;Casado;51;Deportivo;Medio;4;5mas;No;2024;253.21;1
12384;Feb;Toyota;Urbana;Hombre;Casado;32;Sedan;Bajo;3;5mas;No;2024;29.48;0
12385;May;Chevrolet;Urbana;Mujer;Casado;52;Sedan;Bajo;4;5mas;No;2024;83.78;0
12386;Dic;Honda;Rural;Mujer;Soltero;32;Sedan;Bajo;4;2y;No;2024;76.67;1
12387;Nov;Pontiac;Urbana;Hombre;Casado;37;Deportivo;Medio;2;5mas;No;2024;134.09;1
12388;May;Pontiac;Urbana;Hombre;Casado;48;Sedan;Bajo;1;5mas;No;2024;136.70;1
12389;Oct;Pontiac;Urbana;Hombre;Casado;30;Sedan;Bajo;1;5mas;No;2024;224.90;0
12390;May;Mazda;Urbana;Hombre;Casado;51;Sedan;Alto;4;5mas;No;2024;106.06;1
12391;Oct;Honda;Urbana;Hombre;Soltero;27;Deportivo;Bajo;2;5mas;No;2024;291.53;1
12392;May;Chevrolet;Urbana;Hombre;Casado;38;Sedan;Medio;2;5mas;No;2024;168.17;1
12393;Oct;Chevrolet;Urbana;Hombre;Soltero;23;Sedan;Bajo;3;5mas;No;2024;4.14;0
12394;May;Mazda;Urbana;Hombre;Casado;68;Sedan;Bajo;2;5mas;No;2024;262.81;0
12395;Sep;Chevrolet;Urbana;Hombre;Soltero;32;Deportivo;Bajo;4;5mas;No;2024;108.74;1
12396;Sep;Mazda;Urbana;Hombre;Casado;31;Deportivo;Medio;2;5mas;No;2024;100.06;1
12397;Sep;Chevrolet;Rural;Hombre;Casado;58;Sedan;Alto;4;5mas;No;2024;190.67;1
12398;Jul;Pontiac;Urbana;Hombre;Casado;49;Sedan;Bajo;2;5mas;No;2024;25.29;1
12399;Jul;Pontiac;Urbana;Hombre;Casado;53;Deportivo;Bajo;1;5mas;No;2024;14.12;1
12400;Jul;Honda;Urbana;Hombre;Casado;32;Sedan;Bajo;1;5mas;No;2024;96.73;0
12401;Jun;Pontiac;Urbana;Hombre;Soltero;45;Sedan;Medio;3;5mas;No;2024;97.01;0
12402;Jun;Mazda;Urbana;Hombre;Casado;60;Deportivo;Bajo;1;5mas;No;2024;92.48;1
12403;Jun;Toyota;Urbana;Hombre;Casado;42;Sedan;Bajo;2;5mas;No;2024;72.02;1
12404;Jun;Mazda;Urbana;Hombre;Soltero;35;Sedan;Bajo;3;5mas;No;2024;111.41;1
12405;May;Mazda;Urbana;Hombre;Soltero;26;Deportivo;Bajo;2;5mas;No;2024;225.34;1
12406;May;Pontiac;Urbana;Hombre;Casado;58;Sedan;Bajo;3;5mas;No;2024;284.46;1
12407;May;Pontiac;Urbana;Hombre;Casado;27;Sedan;Medio;3;5mas;No;2024;89.94;1
12408;May;Accura;Urbana;Hombre;Casado;36;Deportivo;Medio;4;5mas;No;2024;121.17;1
12409;May;Accura;Urbana;Hombre;Soltero;53;Sedan;Alto;2;5mas;No;2024;168.94;1
12410;May;Honda;Urbana;Hombre;Casado;62;Sedan;Bajo;1;5mas;No;2024;61.68;1
12411;Abr;Toyota;Urbana;Hombre;Casado;34;Sedan;Bajo;2;5mas;No;2024;244.69;1
12412;Abr;Honda;Urbana;Hombre;Casado;27;Deportivo;Bajo;1;5mas;No;2024;4.03;0
12413;Abr;Honda;Urbana;Hombre;Soltero;33;Deportivo;Medio;1;5mas;No;2024;44.36;0
12414;Abr;Ford;Urbana;Mujer;Casado;44;Deportivo;Medio;2;5mas;No;2024;85.28;0
12415;Abr;Toyota;Urbana;Hombre;Casado;27;Deportivo;Bajo;1;5mas;No;2024;2.54;1
12416;May;Toyota;Urbana;Hombre;Casado;37;Deportivo;Bajo;3;5mas;No;2024;148.14;1
12417;Abr;Chevrolet;Rural;Hombre;Soltero;33;Deportivo;Bajo;4;5mas;No;2024;329.67;0
12418;Abr;Accura;Urbana;Hombre;Casado;33;Sedan;Medio;4;5mas;No;2024;491.99;1
12419;May;Chevrolet;Urbana;Hombre;Casado;43;Sedan;Medio;2;5mas;No;2024;167.35;1
12420;Abr;Toyota;Urbana;Hombre;Casado;38;Sedan;Bajo;3;5mas;No;2024;110.42;1
12421;Abr;Accura;Urbana;Hombre;Casado;37;Sedan;Medio;2;5mas;No;2024;161.91;1
12422;Mar;Mazda;Urbana;Hombre;Soltero;56;Carga;Alto;4;5mas;No;2024;256.83;1
12423;Mar;Toyota;Rural;Hombre;Casado;42;Sedan;Bajo;1;5mas;No;2024;17.59;1
12424;Mar;Pontiac;Rural;Hombre;Casado;71;Deportivo;Bajo;1;5mas;No;2024;143.00;1
12425;Mar;Toyota;Urbana;Hombre;Casado;33;Sedan;Bajo;1;5mas;No;2024;24.79;0
12426;Mar;Mazda;Urbana;Hombre;Casado;26;Sedan;Bajo;2;5mas;No;2024;82.03;0
12427;May;Chevrolet;Urbana;Hombre;Casado;77;Sedan;Bajo;4;5mas;No;2024;389.95;1
12428;Feb;Accura;Rural;Hombre;Casado;59;Carga;Alto;4;5mas;No;2024;205.44;0
12429;Feb;Toyota;Urbana;Mujer;Soltero;29;Sedan;Bajo;1;5mas;No;2024;690.08;0
12430;Feb;Pontiac;Urbana;Hombre;Casado;50;Deportivo;Bajo;3;5mas;No;2024;37.58;1
12431;Feb;Toyota;Urbana;Hombre;Casado;43;Deportivo;Bajo;2;5mas;No;2024;213.10;1
12432;Feb;Honda;Urbana;Hombre;Casado;31;Sedan;Medio;3;5mas;No;2024;75.03;1
12433;May;Chevrolet;Urbana;Hombre;Casado;39;Sedan;Medio;1;5mas;No;2024;49.81;0
12434;Feb;Toyota;Urbana;Mujer;Soltero;25;Deportivo;Bajo;4;5mas;No;2024;139.73;1
12435;Feb;Chevrolet;Urbana;Hombre;Casado;31;Sedan;Alto;4;5mas;No;2024;269.54;1
12436;Feb;Pontiac;Urbana;Hombre;Soltero;46;Sedan;Medio;2;5mas;Si;2024;75.59;1
12437;Ene;Honda;Urbana;Hombre;Casado;62;Sedan;Alto;4;0y;No;2024;76.96;1
12438;Ene;Honda;Urbana;Hombre;Soltero;0;Sedan;Alto;2;0y;No;2024;127.22;0
12439;Ene;Honda;Urbana;Hombre;Soltero;0;Sedan;Alto;4;0y;No;2024;110.73;1
12440;Nov;Ford;Urbana;Hombre;Casado;30;Sedan;Medio;1;5mas;No;2024;135.43;1
12441;Mar;Honda;Urbana;Hombre;Soltero;0;Deportivo;Alto;2;0y;No;2024;5.74;1
12442;Abr;Ford;Urbana;Hombre;Soltero;29;Sedan;Bajo;2;5mas;No;2024;149.58;0
12443;Jun;Toyota;Rural;Hombre;Casado;41;Sedan;Bajo;2;5mas;No;2024;82.30;1
12444;Jun;Toyota;Urbana;Hombre;Casado;27;Sedan;Bajo;1;5mas;No;2024;273.39;0
12445;Jun;Honda;Rural;Hombre;Casado;51;Deportivo;Bajo;1;5mas;No;2024;55.60;0
12446;Jun;Toyota;Urbana;Hombre;Casado;76;Sedan;Bajo;2;5mas;No;2024;24.52;0
12447;Ago;Chevrolet;Urbana;Hombre;Casado;42;Sedan;Bajo;1;5mas;No;2024;408.11;1
12448;Ago;Honda;Urbana;Mujer;Casado;39;Deportivo;Alto;3;3y;No;2024;1.44;1
12449;May;Pontiac;Urbana;Mujer;Soltero;31;Sedan;Bajo;2;5mas;No;2024;267.37;0
12450;May;Mazda;Urbana;Hombre;Casado;71;Sedan;Medio;1;5mas;No;2024;218.54;1
12451;Mar;VW;Urbana;Mujer;Casado;44;Sedan;Medio;2;5mas;No;2024;111.83;1
12452;Ago;Pontiac;Urbana;Hombre;Soltero;36;Sedan;Bajo;1;5mas;No;2024;147.45;1
12453;Sep;Toyota;Urbana;Hombre;Casado;56;Deportivo;Bajo;3;5mas;No;2024;190.63;1
12454;May;Toyota;Urbana;Hombre;Casado;36;Sedan;Bajo;1;5mas;No;2024;81.07;1
12455;Abr;Honda;Urbana;Mujer;Soltero;30;Sedan;Bajo;3;5mas;No;2024;119.90;1
12456;May;Honda;Urbana;Hombre;Casado;47;Sedan;Medio;1;5mas;No;2024;211.54;0
12457;Nov;Honda;Rural;Hombre;Casado;42;Sedan;Medio;4;5mas;No;2024;173.12;1
12458;Nov;Pontiac;Urbana;Hombre;Casado;54;Sedan;Bajo;4;5mas;No;2024;226.55;1
12459;Nov;Pontiac;Urbana;Hombre;Soltero;29;Deportivo;Bajo;4;5mas;No;2024;133.53;1
12460;Nov;Toyota;Urbana;Hombre;Soltero;28;Deportivo;Bajo;2;5mas;No;2024;26.02;0
12461;Sep;Pontiac;Urbana;Hombre;Casado;60;Deportivo;Bajo;1;5mas;No;2024;22.17;0
12462;Ago;Honda;Rural;Hombre;Casado;28;Deportivo;Alto;4;5mas;No;2024;8.58;1
12463;Ago;Toyota;Urbana;Hombre;Casado;56;Sedan;Bajo;3;5mas;No;2024;9.52;1
12464;Jun;Pontiac;Urbana;Hombre;Soltero;24;Sedan;Bajo;4;5mas;No;2024;59.79;0
12465;Abr;Pontiac;Urbana;Hombre;Casado;47;Sedan;Medio;2;5mas;No;2024;433.43;1
12466;Ene;Pontiac;Urbana;Mujer;Casado;53;Sedan;Medio;3;5mas;No;2024;88.66;0
12467;Ene;Pontiac;Urbana;Hombre;Casado;41;Sedan;Bajo;1;5mas;No;2024;112.21;1
12468;Dic;Pontiac;Urbana;Hombre;Soltero;35;Sedan;Bajo;3;5mas;No;2024;118.74;1
12469;Mar;Pontiac;Urbana;Hombre;Casado;39;Deportivo;Bajo;4;5mas;No;2024;52.23;1
12470;Jul;Toyota;Urbana;Hombre;Casado;33;Deportivo;Bajo;3;5mas;No;2024;305.38;1
12471;Jul;Honda;Urbana;Hombre;Soltero;52;Sedan;Bajo;2;5mas;No;2024;179.70;1
12472;Jun;Honda;Urbana;Hombre;Casado;51;Sedan;Alto;3;0y;No;2024;8.76;1
12473;Jun;Pontiac;Urbana;Mujer;Casado;26;Deportivo;Bajo;3;5mas;No;2024;202.53;0
12474;Sep;Mazda;Rural;Hombre;Soltero;29;Deportivo;Bajo;4;5mas;No;2024;161.54;0
12475;Ene;Chevrolet;Urbana;Hombre;Casado;53;Sedan;Medio;1;5mas;No;2024;32.33;1
12476;Feb;Pontiac;Urbana;Hombre;Soltero;49;Carga;Alto;4;5mas;No;2024;39.15;1
12477;Mar;Saab;Urbana;Hombre;Casado;28;Sedan;Medio;2;5mas;No;2024;309.48;1
12478;Jun;Chevrolet;Urbana;Hombre;Casado;52;Sedan;Medio;3;5mas;No;2024;131.50;0
12479;May;Toyota;Urbana;Hombre;Casado;40;Sedan;Bajo;4;5mas;No;2024;20.59;0
12480;Jun;Toyota;Urbana;Hombre;Soltero;64;Deportivo;Bajo;4;5mas;No;2024;94.54;1
12481;Oct;Mazda;Urbana;Hombre;Soltero;31;Sedan;Bajo;1;5mas;No;2024;128.04;1
12482;Oct;Pontiac;Rural;Hombre;Casado;37;Sedan;Bajo;4;5mas;No;2024;55.87;1
12483;Oct;Toyota;Urbana;Hombre;Casado;26;Sedan;Bajo;3;5mas;No;2024;287.56;1
12484;May;Pontiac;Urbana;Hombre;Soltero;27;Sedan;Bajo;2;5mas;No;2024;38.83;1
12485;Abr;Accura;Urbana;Mujer;Soltero;44;Sedan;Medio;4;5mas;No;2024;68.31;1
12486;Mar;Toyota;Urbana;Hombre;Casado;54;Deportivo;Medio;2;5mas;No;2024;39.56;1
12487;Mar;Honda;Urbana;Hombre;Casado;48;Sedan;Bajo;3;5mas;No;2024;304.70;1
12488;Mar;Toyota;Urbana;Hombre;Casado;37;Deportivo;Bajo;4;5mas;No;2024;36.95;0
12489;Mar;Toyota;Urbana;Hombre;Casado;71;Sedan;Bajo;1;5mas;No;2024;321.86;1
12490;Mar;Toyota;Urbana;Hombre;Soltero;35;Sedan;Medio;4;5mas;No;2024;343.71;1
12491;Mar;Toyota;Urbana;Mujer;Casado;38;Sedan;Alto;4;5mas;No;2024;47.53;1
12492;Mar;Pontiac;Urbana;Hombre;Casado;45;Sedan;Bajo;2;5mas;No;2024;112.59;0
12493;Mar;Accura;Urbana;Hombre;Casado;52;Sedan;Medio;2;5mas;No;2024;129.53;1
12494;Feb;Mazda;Urbana;Mujer;Casado;38;Sedan;Bajo;1;4y;No;2024;57.99;0
12495;Feb;Toyota;Urbana;Hombre;Soltero;29;Sedan;Bajo;1;5mas;No;2024;491.16;0
12496;Feb;Honda;Urbana;Hombre;Casado;55;Sedan;Bajo;4;5mas;No;2024;77.94;1
12497;Oct;Honda;Urbana;Hombre;Casado;30;Sedan;Bajo;2;5mas;No;2024;62.71;0
12498;Jul;Pontiac;Urbana;Hombre;Casado;30;Sedan;Medio;3;5mas;No;2024;87.05;1
12499;Jun;Toyota;Urbana;Hombre;Soltero;26;Deportivo;Bajo;1;5mas;No;2024;315.54;1
12500;May;Honda;Urbana;Hombre;Casado;36;Deportivo;Bajo;1;5mas;No;2024;214.39;0
12501;May;Pontiac;Urbana;Hombre;Casado;48;Deportivo;Bajo;4;5mas;No;2024;61.02;1
12502;Mar;Honda;Urbana;Hombre;Casado;28;Sedan;Bajo;2;5mas;No;2024;166.89;0
12503;Mar;Chevrolet;Urbana;Hombre;Casado;46;Sedan;Bajo;1;5mas;No;2024;182.75;0
12504;May;Mazda;Urbana;Hombre;Soltero;35;Sedan;Bajo;3;5mas;No;2024;142.35;1
12505;Mar;Toyota;Urbana;Mujer;Casado;48;Sedan;Bajo;3;5mas;No;2024;120.58;1
12506;Mar;Mazda;Urbana;Hombre;Casado;49;Deportivo;Medio;4;5mas;No;2024;50.57;1
12507;Mar;Pontiac;Urbana;Hombre;Casado;27;Sedan;Bajo;4;5mas;No;2024;184.88;1
12508;May;Honda;Urbana;Hombre;Casado;55;Deportivo;Alto;4;5mas;No;2024;65.15;1
12509;Feb;Pontiac;Urbana;Mujer;Casado;27;Deportivo;Medio;2;5mas;No;2024;158.40;1
12510;Feb;Pontiac;Urbana;Hombre;Casado;39;Carga;Alto;1;5mas;No;2024;35.38;1
12511;Dic;Mazda;Urbana;Hombre;Casado;40;Sedan;Medio;2;5mas;No;2024;26.45;1
12512;Oct;Pontiac;Urbana;Hombre;Casado;30;Sedan;Bajo;1;5mas;No;2024;132.73;1
12513;Abr;Toyota;Urbana;Hombre;Soltero;26;Sedan;Bajo;4;5mas;No;2024;369.03;0
12514;Abr;Pontiac;Urbana;Hombre;Casado;46;Sedan;Bajo;3;5mas;No;2024;96.57;1
12515;Oct;Chevrolet;Urbana;Hombre;Casado;47;Sedan;Medio;1;5mas;No;2024;24.48;1
12516;Ago;Porche;Urbana;Hombre;Soltero;56;Carga;Medio;1;5mas;No;2024;155.53;1
12517;Dic;Toyota;Urbana;Mujer;Soltero;28;Sedan;Bajo;4;5mas;No;2024;101.66;1
12518;Nov;Pontiac;Urbana;Hombre;Casado;73;Sedan;Medio;2;5mas;No;2024;150.36;1
12519;May;Chevrolet;Urbana;Hombre;Soltero;35;Sedan;Bajo;3;5mas;No;2024;364.07;1
12520;Jul;Chevrolet;Urbana;Hombre;Casado;43;Sedan;Alto;2;5mas;No;2024;265.53;1
12521;Dic;Toyota;Urbana;Hombre;Soltero;43;Deportivo;Medio;2;5mas;No;2024;4.73;1
12522;Ene;Mazda;Urbana;Hombre;Casado;42;Sedan;Alto;3;5mas;No;2024;318.20;0
12523;Feb;Honda;Urbana;Hombre;Casado;36;Sedan;Medio;1;5mas;No;2024;40.08;1
12524;Mar;Honda;Urbana;Mujer;Soltero;30;Sedan;Bajo;3;5mas;No;2024;36.41;1
12525;Mar;VW;Rural;Hombre;Casado;54;Deportivo;Medio;4;5mas;No;2024;63.47;1
12526;Abr;Pontiac;Urbana;Hombre;Casado;39;Sedan;Bajo;3;5mas;No;2024;34.77;0
12527;May;Honda;Urbana;Hombre;Casado;26;Deportivo;Medio;1;5mas;No;2024;195.34;1
12528;May;Mazda;Urbana;Hombre;Soltero;38;Sedan;Bajo;3;5mas;No;2024;35.97;1
12529;May;Pontiac;Urbana;Hombre;Soltero;23;Sedan;Bajo;3;5mas;No;2024;62.11;1
12530;May;Honda;Rural;Hombre;Casado;45;Sedan;Bajo;4;5mas;No;2024;315.52;0
12531;Jun;Chevrolet;Urbana;Hombre;Soltero;28;Carga;Alto;2;5mas;No;2024;199.14;1
12532;Jun;Pontiac;Urbana;Hombre;Casado;48;Sedan;Bajo;3;5mas;No;2024;209.78;0
12533;Jun;Chevrolet;Urbana;Hombre;Casado;46;Sedan;Medio;1;5mas;No;2024;28.21;0
12534;Jun;Pontiac;Urbana;Mujer;Casado;30;Sedan;Bajo;3;5mas;No;2024;264.25;1
12535;Jun;Pontiac;Urbana;Hombre;Casado;51;Sedan;Bajo;3;5mas;No;2024;139.51;1
12536;Jun;Toyota;Urbana;Hombre;Soltero;29;Deportivo;Bajo;4;3y;No;2024;268.31;1
12537;Jun;Honda;Urbana;Hombre;Casado;68;Deportivo;Bajo;2;5mas;No;2024;260.70;0
12538;Jul;Pontiac;Urbana;Hombre;Casado;56;Sedan;Bajo;4;5mas;No;2024;115.86;0
12539;Jul;Honda;Urbana;Hombre;Casado;49;Sedan;Bajo;3;5mas;No;2024;385.02;0
12540;Ago;Pontiac;Urbana;Hombre;Casado;76;Sedan;Bajo;3;5mas;No;2024;171.29;1
12541;Oct;Honda;Urbana;Hombre;Casado;30;Sedan;Bajo;3;5mas;No;2024;270.12;1
12542;Oct;Pontiac;Urbana;Hombre;Soltero;30;Deportivo;Bajo;2;4y;No;2024;177.12;0
12543;Nov;Pontiac;Urbana;Mujer;Casado;41;Sedan;Bajo;4;5mas;No;2024;290.81;0
12544;Nov;Honda;Urbana;Hombre;Casado;30;Deportivo;Bajo;1;5mas;No;2024;302.37;0
12545;Nov;Mazda;Urbana;Hombre;Casado;57;Sedan;Medio;2;5mas;No;2024;71.90;1
12546;Dic;Toyota;Rural;Hombre;Casado;51;Sedan;Bajo;4;5mas;No;2024;275.11;1
12547;Feb;Toyota;Urbana;Hombre;Casado;37;Sedan;Alto;1;5mas;No;2024;300.48;0
12548;Mar;Mazda;Urbana;Hombre;Casado;44;Deportivo;Bajo;4;5mas;No;2024;410.76;0
12549;Mar;Pontiac;Urbana;Hombre;Casado;46;Sedan;Medio;3;5mas;No;2024;96.16;0
12550;May;Pontiac;Urbana;Hombre;Casado;48;Sedan;Bajo;4;5mas;No;2024;305.94;1
12551;Abr;Toyota;Urbana;Hombre;Casado;27;Sedan;Bajo;3;5mas;No;2024;12.77;0
12552;Jun;Pontiac;Urbana;Hombre;Casado;32;Sedan;Bajo;1;5mas;No;2024;215.44;1
12553;Jul;Pontiac;Urbana;Hombre;Soltero;19;Deportivo;Bajo;4;4y;No;2024;220.76;1
12554;Jul;Honda;Urbana;Hombre;Casado;45;Sedan;Bajo;2;5mas;No;2024;69.57;1
12555;May;Mazda;Urbana;Hombre;Casado;48;Sedan;Bajo;4;5mas;No;2024;258.32;1
12556;Jul;Honda;Urbana;Hombre;Soltero;34;Deportivo;Medio;3;5mas;No;2024;5.98;1
12557;Jul;Pontiac;Urbana;Hombre;Casado;51;Sedan;Bajo;4;5mas;No;2024;161.44;1
12558;May;Mazda;Urbana;Hombre;Casado;32;Sedan;Medio;1;5mas;No;2024;148.84;1
12559;Jul;Mazda;Urbana;Hombre;Soltero;22;Sedan;Bajo;2;5mas;No;2024;384.10;0
12560;Oct;Pontiac;Urbana;Hombre;Casado;71;Sedan;Bajo;3;5mas;No;2024;41.01;1
12561;May;VW;Urbana;Hombre;Casado;40;Sedan;Medio;1;5mas;No;2024;262.69;1
12562;Nov;Honda;Urbana;Hombre;Casado;43;Sedan;Bajo;3;5mas;No;2024;155.87;0
12563;Oct;Toyota;Urbana;Hombre;Casado;72;Sedan;Bajo;1;5mas;No;2024;230.83;0
12564;Sep;Pontiac;Rural;Hombre;Casado;55;Sedan;Medio;2;5mas;No;2024;64.89;1
12565;Ago;BMW;Urbana;Hombre;Casado;42;Sedan;Medio;2;5mas;No;2024;170.90;1
12566;Ago;Toyota;Urbana;Mujer;Soltero;30;Deportivo;Bajo;4;5mas;No;2024;16.87;0
12567;Ago;Mazda;Urbana;Hombre;Soltero;29;Sedan;Bajo;4;5mas;No;2024;140.60;1
12568;Jul;Honda;Rural;Mujer;Casado;53;Deportivo;Bajo;1;5mas;No;2024;93.65;0
12569;May;Honda;Urbana;Hombre;Casado;45;Sedan;Bajo;4;5mas;No;2024;277.01;0
12570;Jul;Pontiac;Urbana;Hombre;Casado;35;Sedan;Bajo;4;5mas;No;2024;96.35;1
12571;Jul;Honda;Urbana;Hombre;Casado;49;Sedan;Bajo;4;5mas;No;2024;120.41;1
12572;Jul;Ford;Urbana;Hombre;Casado;42;Sedan;Alto;1;5mas;No;2024;17.15;0
12573;May;Mazda;Urbana;Hombre;Casado;30;Deportivo;Medio;4;5mas;No;2024;72.85;0
12574;May;Mazda;Urbana;Mujer;Soltero;49;Deportivo;Alto;1;5mas;No;2024;139.73;1
